,0
0,26
1,26
2,44
3,24
4,15
5,23
6,33
7,26
8,1
9,26
10,36
11,45
12,37
13,28
14,35
15,34
16,26
17,26
18,36
19,27
20,21
21,26
22,30
23,60
24,61
25,42
26,26
27,22
28,16
29,30
30,42
31,62
32,28
33,55
34,7
35,32
36,26
37,54
38,16
39,30
40,27
41,92
42,56
43,30
44,70
45,54
46,35
47,28
48,24
49,64
50,67
51,30
52,2
53,30
54,51
55,69
56,40
57,30
58,32
59,25
60,43
61,7
62,21
63,45
64,18
65,25
66,36
67,45
68,18
69,21
70,36
71,18
72,80
73,22
74,8
75,46
76,29
77,90
78,2
79,53
80,38
81,26
82,21
83,28
84,26
85,34
86,50
87,1
88,70
89,1
90,6
91,52
92,26
93,40
94,25
95,44
96,7
97,43
98,42
99,36
100,26
101,39
102,35
103,30
104,1
105,26
106,29
107,27
108,50
109,3
110,35
111,15
112,35
113,55
114,38
115,26
116,26
117,35
118,24
119,32
120,53
121,1
122,1
123,54
124,26
125,29
126,24
127,14
128,26
129,1
130,29
131,43
132,43
133,16
134,38
135,15
136,24
137,28
138,24
139,41
140,51
141,32
142,28
143,82
144,40
145,28
146,24
147,5
148,30
149,32
150,24
151,40
152,30
153,22
154,56
155,6
156,10
157,1
158,15
159,26
160,5
161,10
162,28
163,65
164,63
165,40
166,24
167,26
168,40
169,48
170,26
171,53
172,51
173,16
174,22
175,55
176,28
177,40
178,56
179,2
180,61
181,41
182,26
183,49
184,11
185,51
186,23
187,45
188,24
189,5
190,44
191,31
192,28
193,23
194,40
195,45
196,56
197,31
198,65
199,70
200,26
201,26
202,31
203,27
204,1
205,60
206,26
207,39
208,30
209,4
210,53
211,10
212,36
213,32
214,21
215,3
216,28
217,83
218,41
219,51
220,26
221,69
222,3
223,54
224,59
225,45
226,1
227,63
228,29
229,40
230,88
231,14
232,3
233,26
234,26
235,39
236,26
237,1
238,2
239,26
240,53
241,54
242,50
243,45
244,26
245,22
246,29
247,23
248,1
249,73
250,43
251,55
252,2
253,47
254,28
255,1
256,22
257,30
258,26
259,24
260,32
261,55
262,30
263,39
264,63
265,8
266,13
267,28
268,41
269,28
270,21
271,86
272,30
273,75
274,35
275,7
276,26
277,7
278,25
279,32
280,2
281,32
282,8
283,29
284,32
285,1
286,52
287,37
288,23
289,1
290,35
291,24
292,27
293,26
294,37
295,75
296,63
297,26
298,13
299,24
300,67
301,63
302,21
303,22
304,36
305,35
306,26
307,3
308,32
309,69
310,10
311,26
312,50
313,45
314,8
315,30
316,28
317,30
318,24
319,2
320,9
321,54
322,42
323,29
324,25
325,26
326,20
327,28
328,32
329,24
330,65
331,35
332,17
333,29
334,37
335,35
336,38
337,28
338,26
339,23
340,24
341,24
342,1
343,34
344,26
345,32
346,29
347,34
348,39
349,48
350,3
351,19
352,26
353,57
354,39
355,1
356,37
357,8
358,86
359,41
360,84
361,54
362,26
363,52
364,65
365,59
366,28
367,58
368,70
369,45
370,26
371,40
372,1
373,21
374,4
375,31
376,28
377,51
378,30
379,82
380,24
381,69
382,67
383,20
384,35
385,30
386,24
387,35
388,65
389,34
390,24
391,56
392,63
393,35
394,49
395,40
396,26
397,25
398,35
399,28
400,28
401,25
402,29
403,20
404,35
405,2
406,23
407,2
408,61
409,23
410,32
411,36
412,36
413,23
414,2
415,26
416,26
417,4
418,26
419,26
420,21
421,6
422,2
423,27
424,36
425,24
426,55
427,25
428,26
429,28
430,21
431,35
432,24
433,3
434,28
435,22
436,36
437,26
438,40
439,28
440,28
441,35
442,26
443,54
444,75
445,35
446,23
447,27
448,25
449,1
450,2
451,40
452,16
453,26
454,24
455,23
456,24
457,26
458,26
459,34
460,26
461,49
462,68
463,1
464,27
465,27
466,2
467,49
468,40
469,31
470,10
471,37
472,29
473,60
474,85
475,29
476,12
477,25
478,58
479,60
480,26
481,36
482,50
483,37
484,32
485,28
486,28
487,16
488,27
489,65
490,18
491,65
492,26
493,12
494,29
495,2
496,26
497,26
498,26
499,52
500,24
501,53
502,28
503,27
504,45
505,36
506,20
507,24
508,26
509,1
510,40
511,4
512,54
513,66
514,78
515,26
516,24
517,27
518,24
519,45
520,29
521,29
522,55
523,6
524,32
525,29
526,4
527,35
528,26
529,65
530,39
531,22
532,32
533,50
534,70
535,26
536,28
537,24
538,25
539,52
540,67
541,40
542,28
543,26
544,50
545,22
546,35
547,15
548,13
549,10
550,1
551,29
552,2
553,4
554,42
555,61
556,61
557,29
558,26
559,53
560,45
561,31
562,10
563,26
564,26
565,26
566,37
567,30
568,50
569,35
570,2
571,4
572,59
573,50
574,30
575,26
576,51
577,47
578,26
579,54
580,18
581,40
582,38
583,27
584,2
585,24
586,25
587,28
588,15
589,29
590,53
591,26
592,1
593,24
594,26
595,32
596,65
597,43
598,18
599,73
600,1
601,65
602,26
603,22
604,43
605,26
606,33
607,28
608,56
609,57
610,54
611,13
612,62
613,58
614,110
615,45
616,23
617,83
618,37
619,30
620,2
621,35
622,35
623,36
624,32
625,32
626,32
627,99
628,37
629,29
630,1
631,28
632,81
633,28
634,61
635,40
636,34
637,24
638,22
639,26
640,39
641,16
642,58
643,32
644,35
645,26
646,47
647,25
648,19
649,1
650,61
651,41
652,5
653,34
654,62
655,30
656,3
657,28
658,1
659,10
660,38
661,47
662,35
663,26
664,30
665,69
666,31
667,56
668,58
669,37
670,26
671,29
672,28
673,41
674,49
675,72
676,44
677,49
678,3
679,3
680,39
681,32
682,52
683,35
684,39
685,28
686,62
687,39
688,26
689,28
690,26
691,26
692,50
693,36
694,32
695,52
696,48
697,26
698,32
699,30
700,35
701,30
702,1
703,23
704,26
705,31
706,20
707,34
708,35
709,22
710,25
711,4
712,2
713,8
714,25
715,31
716,52
717,62
718,26
719,26
720,26
721,56
722,24
723,6
724,2
725,2
726,40
727,49
728,26
729,7
730,55
731,73
732,59
733,45
734,28
735,36
736,25
737,47
738,32
739,22
740,26
741,30
742,1
743,32
744,48
745,3
746,40
747,60
748,36
749,39
750,3
751,26
752,32
753,24
754,56
755,1
756,53
757,61
758,23
759,25
760,22
761,21
762,26
763,51
764,65
765,23
766,30
767,57
768,30
769,28
770,5
771,90
772,21
773,30
774,39
775,40
776,26
777,3
778,56
779,67
780,15
781,26
782,51
783,26
784,36
785,26
786,23
787,38
788,2
789,8
790,32
791,1
792,20
793,26
794,60
795,34
796,30
797,26
798,8
799,25
800,18
801,40
802,28
803,2
804,25
805,25
806,32
807,86
808,40
809,55
810,26
811,9
812,32
813,3
814,5
815,42
816,37
817,24
818,1
