,0
0,1981
1,1925
2,1948
3,1930
4,1971
5,1960
6,1937
7,1904
8,1946
9,1982
10,1908
11,1933
12,1987
13,1931
14,1936
15,1981
16,1972
17,1973
18,1988
19,1930
20,1889
21,1968
22,1980
23,1981
24,1983
25,1963
26,1920
27,1926
28,1956
29,1978
30,1991
31,1953
32,1968
33,1977
34,1920
35,1987
36,1988
37,1962
38,1963
39,1985
40,1973
41,1930
42,1978
43,1957
44,1944
45,1960
46,1950
47,1955
48,1966
49,1952
50,1937
51,1984
52,1962
53,1974
54,1949
55,1956
56,1954
57,1954
58,1966
59,1980
60,1962
61,1979
62,1965
63,1955
64,1946
65,1945
66,1965
67,1954
68,1931
69,1920
70,1989
71,1976
72,1952
73,1968
74,1980
75,1975
76,1967
77,1969
78,1962
79,1961
80,1985
81,1913
82,1976
83,1902
84,1955
85,1979
86,1962
87,1987
88,1964
89,1948
90,1979
91,1976
92,1970
93,1954
94,1981
95,1975
96,1981
97,1933
98,1987
99,1940
100,1937
101,1891
102,1945
103,1951
104,1937
105,1955
106,1960
107,1982
108,1989
109,1937
110,1992
111,1943
112,1970
113,1979
114,1988
115,1968
116,1912
117,1946
118,1970
119,1955
120,1964
121,1986
122,1966
123,1979
124,1946
125,1986
126,1980
127,1988
128,1948
129,1976
130,1941
131,1954
132,1943
133,1973
134,1991
135,1981
136,1935
137,1961
138,1937
139,1972
140,1968
141,1983
142,1944
143,1988
144,1960
145,1954
146,1968
147,1922
148,1947
149,1899
150,1954
151,1948
152,1940
153,1958
154,1956
155,1991
156,1986
157,1986
158,1924
159,1956
160,1915
161,1930
162,1920
163,1958
164,1924
165,1971
166,1948
167,1989
168,1971
169,1974
170,1977
171,1967
172,1921
173,1978
174,1943
175,1945
176,1938
177,1956
178,1929
179,1982
180,1962
181,1982
182,1975
183,1969
184,1964
185,1963
186,1986
187,1964
188,1982
189,1989
190,1944
191,1985
192,1981
193,1950
194,1985
195,1986
196,1969
197,1966
198,1953
199,1981
200,1949
201,1906
202,1975
203,1932
204,1949
205,1981
206,1902
207,1991
208,1979
209,1950
210,1980
211,1975
212,1968
213,1935
214,1960
215,1986
216,1925
217,1942
218,1942
219,1910
220,1990
221,1978
222,1990
223,1992
224,1947
225,1967
226,1983
227,1964
228,1974
229,1990
230,1989
231,1979
232,1933
233,1983
234,1990
235,1938
236,1979
237,1920
238,1923
239,1990
240,1985
241,1982
242,1988
243,1979
244,1972
245,1982
246,1941
247,1927
248,1953
249,1967
250,1962
251,1957
252,1986
253,1989
254,1881
255,1896
256,1944
257,1924
258,1902
259,1885
260,1991
261,1982
262,1894
263,1982
264,1943
265,1986
266,1961
267,1952
268,1990
269,1967
270,1973
271,1974
272,1981
273,1972
274,1982
275,1935
276,1956
277,1971
278,1947
279,1919
280,1985
281,1987
282,1987
283,1907
284,1986
285,1931
286,1981
287,1935
288,1981
289,1919
290,1966
291,1984
292,1980
293,1949
294,1974
295,1962
296,1982
297,1979
298,1985
299,1945
300,1920
301,1951
302,1946
303,1950
304,1973
305,1981
306,1952
307,1970
308,1933
309,1941
310,1986
311,1951
312,1962
313,1963
314,1935
315,1927
316,1976
317,1929
318,1947
319,1985
320,1964
321,1979
322,1988
323,1983
324,1959
325,1931
326,1898
327,1978
328,1989
329,1989
330,1984
331,1989
332,1985
333,1993
334,1991
335,1986
336,1909
337,1925
338,1962
339,1984
340,1992
341,1978
342,1977
343,1981
344,1956
345,1946
346,1989
347,1964
348,1981
349,1970
350,1981
351,1985
352,1964
353,1987
354,1944
355,1990
356,1957
357,1992
358,1973
359,1988
360,1992
361,1971
362,1975
363,1988
364,1984
365,1973
366,1986
367,1968
368,1982
369,1963
370,1925
371,1961
372,1961
373,1983
374,1928
375,1948
376,1956
377,1980
378,1971
379,1950
380,1966
381,1884
382,1957
383,1955
384,1986
385,1974
386,1971
387,1941
388,1986
389,1985
390,1992
391,1964
392,1985
393,1988
394,1958
395,1984
396,1945
397,1917
398,1979
399,1984
400,1989
401,1985
402,1969
403,1959
404,1968
405,1986
406,1949
407,1958
408,1992
409,1991
410,1980
411,1935
412,1991
413,1991
414,1968
415,1922
416,1992
417,1894
418,1992
419,1911
420,1949
421,1977
422,1961
423,1954
424,1993
425,1944
426,1930
427,1989
428,1987
429,1954
430,1992
431,1938
432,1991
433,1992
434,1993
435,1984
436,1986
437,1985
438,1957
439,1932
440,1980
441,1978
442,1973
443,1965
444,1970
445,1962
446,1961
447,1942
448,1905
449,1987
450,1986
451,1994
452,1992
453,1965
454,1979
455,1985
456,1990
457,1976
458,1986
459,1966
460,1939
461,1965
462,1911
463,1897
464,1984
465,1993
466,1985
467,1931
468,1958
469,1987
470,1989
471,1887
472,1914
473,1946
474,1987
475,1993
476,1974
477,1969
478,1946
479,1991
480,1967
481,1952
482,1972
483,1985
484,1981
485,1974
486,1990
487,1914
488,1930
489,1930
490,1984
491,1976
492,1993
493,1991
494,1908
495,1977
496,1983
497,1971
498,1992
499,1974
500,1965
501,1978
502,1966
503,1944
504,1958
505,1942
506,1992
507,1992
508,1968
509,1985
510,1989
511,1941
512,1990
513,1995
514,1938
515,1921
516,1970
517,1991
518,1980
519,1990
520,1979
521,1993
522,1946
523,1956
524,1925
525,1934
526,1945
527,1985
528,1976
529,1983
530,1985
531,1937
532,1991
533,1920
534,1966
535,1995
536,1988
537,1972
538,1976
539,1963
540,1988
541,1981
542,1988
543,1996
544,1989
545,1902
546,1967
547,1983
548,1917
549,1986
550,1959
551,1983
552,1982
553,1951
554,1912
555,1979
556,1979
557,1932
558,1985
559,1940
560,1987
561,1987
562,1985
563,1970
564,1983
565,1911
566,1983
567,1975
568,1939
569,1971
570,1975
571,1911
572,1974
573,1961
574,1979
575,1924
576,1964
577,1977
578,1938
579,1971
580,1982
581,1959
582,1933
583,1954
584,1918
585,1956
586,1932
587,1966
588,1955
589,1959
590,1952
591,1983
592,1987
593,1979
594,1989
595,1952
596,1910
597,1896
598,1977
599,1981
600,1939
601,1972
602,1925
603,1986
604,1931
605,1864
606,1981
607,1980
608,1981
609,1955
610,1976
611,1971
612,1956
613,1987
614,1980
615,1928
616,1954
617,1982
618,1961
619,1967
620,1985
621,1940
622,1980
623,1983
624,1960
625,1961
626,1924
627,1976
628,1975
629,1933
630,1976
631,1985
632,1942
633,1986
634,1982
635,1984
636,1982
637,1982
638,1988
639,1920
640,1948
641,1945
642,1982
643,1934
644,1982
645,1963
646,1949
647,1958
648,1919
649,1979
650,1982
651,1977
652,1976
653,1977
654,1949
655,1978
656,1974
657,1950
658,1972
659,1985
660,1946
661,1965
662,1907
663,1989
664,1982
665,1987
666,1910
667,1919
668,1965
669,1948
670,1916
671,1977
672,1982
673,1934
674,1919
675,1984
676,1988
677,1969
678,1974
679,1946
680,1962
681,1943
682,1968
683,1968
684,1979
685,1963
686,1887
687,1963
688,1971
689,1967
690,1965
691,1966
692,1947
693,1962
694,1975
695,1949
696,1980
697,1955
698,1957
699,1887
700,1984
701,1972
702,1987
703,1978
704,1981
705,1976
706,1946
707,1947
708,1937
709,1983
710,1962
711,1956
712,1936
713,1961
714,1953
715,1979
716,1977
717,1984
718,1980
719,1966
720,1951
721,1923
722,1970
723,1959
724,1960
725,1940
726,1951
727,1982
728,1983
729,1974
730,1953
731,1981
732,1970
733,1965
734,1954
735,1947
736,1941
737,1948
738,1972
739,1919
740,1940
741,1984
742,1972
743,1943
744,1950
745,1963
746,1981
747,1963
748,1983
749,1986
750,1968
751,1932
752,1981
753,1924
754,1896
755,1953
756,1984
757,1930
758,1990
759,1920
760,1958
761,1974
762,1970
763,1944
764,1972
765,1978
766,1974
767,1994
768,1948
769,1985
770,1917
771,1934
772,1891
773,1971
774,1955
775,1956
776,1983
777,1983
778,1980
779,1980
780,1982
781,1949
782,1964
783,1983
784,1981
785,1924
786,1946
787,1935
788,1943
789,1946
790,1956
791,1952
792,1969
793,1984
794,1973
795,1985
796,1945
797,1964
798,1926
799,1968
800,1964
801,1917
802,1951
803,1974
804,1937
805,1976
806,1921
807,1976
808,1951
809,1979
810,1971
811,1982
812,1987
813,1915
814,1977
815,1963
816,1949
817,1958
818,1896
819,1982
820,1981
821,1983
822,1968
823,1985
824,1970
825,1933
826,1982
827,1989
828,1975
829,1986
830,1944
