,0
0,2009
1,1964
2,2008
3,1961
4,2012
5,2012
6,1971
7,1982
8,2007
9,2011
10,1950
11,1969
12,2010
13,1959
14,1974
15,2006
16,2004
17,2010
18,2007
19,2008
20,1940
21,2010
22,2011
23,2014
24,2011
25,1997
26,1950
27,1986
28,1969
29,2005
30,1985
31,2014
32,2010
33,2007
34,1988
35,2012
36,2012
37,2011
38,2009
39,2009
40,2007
41,2002
42,2009
43,2010
44,1995
45,2007
46,1950
47,2012
48,2000
49,2007
50,1960
51,2014
52,2009
53,2007
54,2007
55,2010
56,2007
57,2009
58,2012
59,2013
60,2009
61,2007
62,2007
63,1950
64,1940
65,2012
66,1960
67,1950
68,2010
69,1970
70,2011
71,2009
72,1950
73,1960
74,2006
75,2007
76,2015
77,2013
78,1960
79,2008
80,2010
81,1976
82,2006
83,2003
84,1984
85,2010
86,1960
87,2012
88,2010
89,2010
90,2007
91,2008
92,2007
93,2006
94,2007
95,2011
96,2012
97,1962
98,2014
99,1969
100,1961
101,1958
102,2008
103,2008
104,2010
105,2005
106,2013
107,2009
108,2015
109,2008
110,2010
111,1968
112,2009
113,2006
114,2009
115,2007
116,1943
117,1940
118,2011
119,1950
120,1960
121,2014
122,1960
123,2005
124,2005
125,2009
126,2005
127,2015
128,2007
129,2006
130,2007
131,2000
132,1940
133,2011
134,2013
135,2010
136,2005
137,2010
138,2000
139,2009
140,2010
141,2013
142,1982
143,2010
144,2011
145,1977
146,2012
147,1967
148,2007
149,1970
150,2010
151,1940
152,1940
153,1979
154,1950
155,2010
156,2009
157,2014
158,1945
159,2009
160,1996
161,1965
162,1963
163,2009
164,1958
165,2006
166,1978
167,2014
168,2010
169,2015
170,2008
171,2008
172,1990
173,2009
174,1940
175,1973
176,1976
177,2008
178,2003
179,2002
180,2010
181,2009
182,2007
183,2000
184,1960
185,2010
186,2012
187,2015
188,2010
189,2011
190,2012
191,2012
192,2007
193,1972
194,2012
195,2013
196,2007
197,2006
198,2004
199,2010
200,1974
201,1941
202,1996
203,2009
204,1986
205,2013
206,1945
207,2009
208,2012
209,2011
210,2013
211,2011
212,2007
213,1964
214,2013
215,2012
216,1958
217,1977
218,1970
219,2005
220,2011
221,2010
222,2011
223,2009
224,1993
225,1995
226,2011
227,2007
228,2009
229,2014
230,2005
231,2013
232,1953
233,2013
234,2008
235,2014
236,2009
237,1948
238,1951
239,2014
240,2009
241,2013
242,2009
243,2014
244,2011
245,2011
246,2015
247,2008
248,2006
249,2009
250,1986
251,2014
252,2009
253,2011
254,1944
255,1972
256,2012
257,1971
258,1944
259,1940
260,2008
261,2012
262,1944
263,2014
264,2008
265,2009
266,2011
267,2008
268,2011
269,2010
270,1996
271,1995
272,2011
273,2008
274,2009
275,1956
276,2009
277,2014
278,1978
279,1942
280,2008
281,2011
282,2010
283,1945
284,2014
285,2007
286,2014
287,1960
288,2014
289,1973
290,2003
291,1989
292,2008
293,2011
294,2009
295,2011
296,2008
297,2004
298,2013
299,2015
300,1970
301,2011
302,2009
303,1971
304,2014
305,2010
306,2014
307,2009
308,2008
309,1980
310,2008
311,1972
312,1997
313,2007
314,1956
315,1955
316,2012
